author
Ralf Steinmetz
Cheng-Wen Wu
Thomas S. Huang
Maja J. Mataric
K. Suzanne Barber
Josef Kittler
Gerald Sommer
Edwin R. Hancock
Masaru Kitsuregawa
Roberto Gorrieri
Nancy E. Reed
Bharat K. Bhargava
Sanjay Kumar Madria
Bill Hancock
