Ralf Steinmetz,Cheng-Wen Wu,Thomas S. Huang,Maja J. Mataric,K. Suzanne Barber,Josef Kittler,Gerald Sommer,Edwin R. Hancock,Masaru Kitsuregawa,Roberto Gorrieri,Nancy E. Reed,Bharat K. Bhargava,Sanjay Kumar Madria,Bill Hancock
1.0000000000000002,0.9842070624550638,0.9948734053446947,0.9922192880967057,0.9867636311727396,0.9916945320769506,0.9937826174233124,0.993949807765968,0.9924615577095658,0.9959433356191729,0.986295078636896,0.989245998092322,0.995979716134612,0.9888876331749746
0.9842070624550638,1.0,0.9902580008624491,0.9905899464743269,0.9929902492711125,0.9800269298152969,0.991573785784451,0.9943434512889291,0.9928433117387634,0.9910970965360231,0.9875093940908392,0.9958362295058664,0.9912149186053896,0.9953088402395145
0.9948734053446947,0.9902580008624491,1.0,0.9867974676385765,0.9880154817634854,0.9914370721209375,0.9937508056837916,0.9948178950417392,0.9929807146569409,0.996233702631622,0.9879058802554012,0.9948315776159933,0.9962430092647578,0.995051104371441
0.9922192880967057,0.9905899464743269,0.9867974676385765,0.9999999999999999,0.988259631730373,0.9817871702464864,0.9949386434444126,0.9912324656561167,0.9891921942171502,0.9935138181226492,0.9819657984196551,0.9920761542633425,0.9935390198162922,0.9862351736011693
0.9867636311727396,0.9929902492711125,0.9880154817634854,0.988259631730373,1.0,0.9899600386323673,0.9894847487098283,0.9958811771225882,0.9951318661240441,0.9926897684217404,0.995127738897982,0.9927653633613283,0.9926902320484255,0.9930064424559958
0.9916945320769506,0.9800269298152969,0.9914370721209375,0.9817871702464864,0.9899600386323673,0.9999999999999999,0.9904152427820899,0.9923848014830682,0.9898760852963024,0.9937190821836897,0.9903244228373748,0.9853245963555629,0.9935887032228371,0.9875007444797875
0.9937826174233124,0.991573785784451,0.9937508056837916,0.9949386434444126,0.9894847487098283,0.9904152427820899,1.0000000000000002,0.9960325137934505,0.9905341208765814,0.9984021416031474,0.9895079382822652,0.993038719656654,0.9984365685953253,0.9919745249043134
0.993949807765968,0.9943434512889291,0.9948178950417392,0.9912324656561167,0.9958811771225882,0.9923848014830682,0.9960325137934505,1.0,0.9962411129513676,0.9979668982892214,0.9959480261187125,0.9942810189711803,0.9980383290048628,0.9971100705489535
0.9924615577095658,0.9928433117387634,0.9929807146569409,0.9891921942171502,0.9951318661240441,0.9898760852963024,0.9905341208765814,0.9962411129513676,0.9999999999999999,0.9933479980693602,0.990324515927428,0.9926732714953757,0.9934586719896087,0.9921514369252319
0.9959433356191729,0.9910970965360231,0.996233702631622,0.9935138181226492,0.9926897684217404,0.9937190821836897,0.9984021416031474,0.9979668982892214,0.9933479980693602,1.0,0.9927524195510151,0.995478343670181,0.9999755579194188,0.9946506060761713
0.986295078636896,0.9875093940908392,0.9879058802554012,0.9819657984196551,0.995127738897982,0.9903244228373748,0.9895079382822652,0.9959480261187125,0.990324515927428,0.9927524195510151,0.9999999999999998,0.9873630531308518,0.992723026376881,0.993066986972882
0.989245998092322,0.9958362295058664,0.9948315776159933,0.9920761542633425,0.9927653633613283,0.9853245963555629,0.993038719656654,0.9942810189711803,0.9926732714953757,0.995478343670181,0.9873630531308518,0.9999999999999998,0.995471948263042,0.99518933365747
0.995979716134612,0.9912149186053896,0.9962430092647578,0.9935390198162922,0.9926902320484255,0.9935887032228371,0.9984365685953253,0.9980383290048628,0.9934586719896087,0.9999755579194188,0.992723026376881,0.995471948263042,1.0,0.994472486940765
0.9888876331749746,0.9953088402395145,0.995051104371441,0.9862351736011693,0.9930064424559958,0.9875007444797875,0.9919745249043134,0.9971100705489535,0.9921514369252319,0.9946506060761713,0.993066986972882,0.99518933365747,0.994472486940765,1.0
